RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
5259,0.05,206.6106,523.3128,0.521213,0.401505,0.375971,0.369151,0.363798,0.352541,0.328595,0.267062,0.521213,0.501854,0.084342,0.098526,0.106153,0.108873,41.0557,143.7971
5259,0.025,106.9995,242.9527,0.220091,0.158146,0.146512,0.146496,0.146346,0.144018,0.137812,0.117171,0.220091,0.218795,0.035781,0.049892,0.059582,0.049646,21.2257,62.6918
5259,0.075,361.1886,1239.5006,2.79651,2.729766,2.169307,1.732329,1.485448,1.341141,1.222379,1.051593,2.79651,2.01119,0.247177,0.171416,0.218379,0.19835,72.1347,576.2702
5259,0.055,220.2,566.3349,0.577432,0.44695,0.420222,0.413807,0.408028,0.395767,0.368883,0.299049,0.577432,0.554453,0.093425,0.102098,0.115156,0.131833,43.7669,158.8685
5259,0.06,231.1966,602.9565,0.63096,0.491954,0.463058,0.455953,0.450944,0.440546,0.416259,0.340185,0.63096,0.612783,0.099791,0.103243,0.122334,0.170644,45.963,175.5818
5259,0.065,359.5743,1219.6065,2.694357,2.628828,2.124756,1.70672,1.465312,1.323302,1.206212,1.037394,2.694357,1.97438,0.240029,0.172583,0.217396,0.195289,71.8006,565.723
5259,0.063,362.8943,1228.1255,2.706502,2.645452,2.145407,1.730397,1.487654,1.34357,1.225072,1.053993,2.706502,1.997358,0.233135,0.17486,0.219947,0.197244,72.4783,572.3069
5259,0.0625,361.6027,1228.4326,2.740823,2.673982,2.148413,1.727024,1.481181,1.337043,1.219432,1.049556,2.740823,1.992154,0.241098,0.174422,0.219647,0.197429,72.2059,570.816
5676,0.05,126.3123,296.3762,0.275222,0.208145,0.195896,0.194278,0.19236,0.187022,0.175685,0.14659,0.275222,0.278022,0.0494,0.065742,0.076424,0.045894,25.0689,79.6621
5676,0.055,136.5375,323.8362,0.30301,0.231205,0.217915,0.215764,0.213012,0.206361,0.193231,0.160508,0.30301,0.304958,0.053834,0.071762,0.082848,0.050566,27.1026,87.3802
5676,0.08,182.1971,453.552,0.440679,0.342268,0.323932,0.320385,0.315744,0.304881,0.282617,0.229597,0.440679,0.435313,0.077652,0.096281,0.111779,0.074071,36.1946,124.731
5676,0.09,203.4698,520.7214,0.522832,0.405973,0.382399,0.374881,0.367574,0.354725,0.330104,0.268577,0.522832,0.513768,0.093233,0.103754,0.121475,0.084416,40.4392,147.2109
5676,0.12,262.6242,711.1349,0.813646,0.647951,0.591764,0.569684,0.554852,0.534519,0.499263,0.406655,0.813646,0.748811,0.112233,0.118801,0.143948,0.13395,52.2489,214.5583
5676,0.15,360.5225,1223.3378,2.685774,2.629347,2.113637,1.702499,1.462247,1.320805,1.20779,1.038596,2.685774,1.970142,0.234811,0.173678,0.218004,0.194945,71.9862,564.5087
5676,0.13,276.2919,759.7656,0.904494,0.726454,0.661292,0.633441,0.612205,0.588237,0.549638,0.449535,0.904494,0.819694,0.116079,0.121462,0.151033,0.166439,54.9745,234.8687
5676,0.135,311.0064,947.2385,1.523012,1.321456,1.111294,0.996132,0.931595,0.879457,0.820246,0.691604,1.523012,1.242467,0.121371,0.120675,0.152364,0.190347,61.9896,356.0066
5676,0.14,358.6776,1214.3877,2.65951,2.596617,2.103349,1.69116,1.453727,1.313574,1.200192,1.032751,2.65951,1.958354,0.242855,0.171502,0.215977,0.190665,71.6217,561.1312
5676,0.137,360.4562,1217.9623,2.678339,2.616559,2.107216,1.700806,1.465862,1.32506,1.209085,1.040165,2.678339,1.964957,0.233452,0.171331,0.217994,0.191921,71.9994,563.0232
