RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
496,1.8,425.0474,1035.7517,0.918278,1.165829,1.142017,1.071563,1.070558,1.287245,1.304092,0.992009,1.304092,0.984829,1.8,0.867568,0.39022,0.110941,0.0,279.9378
496,2.0,446.0959,1057.4451,1.068392,1.215017,1.200604,1.131379,1.127438,1.34725,1.375469,1.044604,1.375469,1.045841,2.0,0.88801,0.402507,0.123177,0.0,297.2802
496,2.5,478.2666,1077.1368,1.625443,1.623242,1.332476,1.187593,1.171559,1.374359,1.449062,1.131575,1.625443,1.108816,2.5,0.94914,0.416295,0.153688,0.0,315.1808
496,2.8,488.2713,1075.9197,2.017019,1.950608,1.525664,1.272821,1.236824,1.415422,1.498432,1.177498,2.017019,1.281533,2.8,0.972373,0.412345,0.171966,0.0,364.2759
496,3.0,492.0684,1075.1861,2.297816,2.181487,1.660924,1.360185,1.313457,1.433689,1.520964,1.197313,2.297816,1.409956,3.0,0.987101,0.408323,0.184136,0.0,400.7801
496,3.2,496.1453,1072.9696,2.581631,2.418657,1.805323,1.451904,1.39308,1.456952,1.542172,1.218506,2.581631,1.54104,3.2,1.00887,0.405304,0.196295,0.0,438.0405
990,0.05,53.0947,139.3467,0.041571,0.058174,0.061631,0.063194,0.0635,0.06314,0.060813,0.051127,0.0635,0.056727,0.05,0.047413,0.030348,0.009183,0.0,16.1246
990,0.1,100.7582,267.6512,0.081811,0.115949,0.121027,0.120679,0.119136,0.116455,0.11262,0.09422,0.121027,0.107654,0.1,0.092115,0.057923,0.01817,0.0,30.6006
990,0.15,125.5376,338.8769,0.105633,0.150901,0.156863,0.156683,0.15867,0.156504,0.148129,0.121767,0.15867,0.137993,0.15,0.130797,0.078836,0.027162,0.0,39.2246
990,0.2,152.8747,422.2043,0.138875,0.197937,0.206152,0.207245,0.207101,0.204918,0.195843,0.158583,0.207245,0.181437,0.2,0.165925,0.100735,0.036476,0.0,51.5735
990,0.25,206.0927,561.8596,0.215483,0.298469,0.30691,0.308662,0.305054,0.293062,0.2693,0.214486,0.308662,0.269724,0.25,0.211432,0.130345,0.045225,0.0,76.6691
990,0.35,300.1341,825.059,0.584854,0.804245,0.798163,0.765481,0.723794,0.675308,0.614428,0.492191,0.804245,0.6808,0.35,0.276925,0.188581,0.068247,0.0,193.5175
990,0.3,281.9574,762.6191,0.411824,0.557658,0.549735,0.520404,0.488584,0.455721,0.414934,0.329102,0.557658,0.462026,0.3,0.250046,0.16071,0.055365,0.0,131.3308
990,0.4,297.0962,847.3254,0.652586,0.902836,0.902953,0.871333,0.827663,0.77358,0.704514,0.565635,0.902953,0.771858,0.4,0.307519,0.210905,0.079619,0.0,219.4006
990,0.55,350.011,907.9382,0.748923,1.034557,1.024359,0.967154,0.9178,0.860577,0.780925,0.621069,1.034557,0.86454,0.55,0.434004,0.234219,0.108332,0.0,245.7454
990,0.7,366.1939,952.2621,0.822819,1.141747,1.158853,1.114358,1.061011,0.99506,0.90301,0.722682,1.158853,0.982886,0.7,0.501835,0.251577,0.137191,0.0,279.3853
990,0.9,367.1056,942.1998,1.508592,1.794694,1.751211,1.656586,1.54119,1.418071,1.272423,1.018253,1.794694,1.454916,0.9,0.594141,0.287153,0.172226,0.0,413.5598
990,0.8,354.9538,935.9015,1.174615,1.498832,1.49358,1.415038,1.317653,1.225346,1.102452,0.8852,1.498832,1.245765,0.8,0.544721,0.270748,0.155479,0.0,354.1088
990,1.2,400.2258,1025.3743,3.355751,2.985211,2.502462,2.22349,2.035268,1.863236,1.681287,1.408822,3.355751,2.229157,1.2,0.745626,0.330307,0.22467,0.0,633.6378
990,1.0,388.6806,997.4103,1.722895,1.983918,1.931013,1.815459,1.700642,1.560629,1.39883,1.117774,1.983918,1.607125,1.0,0.641801,0.30221,0.188889,0.0,456.8253
990,0.9,367.1056,942.1998,1.508592,1.794694,1.751211,1.656586,1.54119,1.418071,1.272423,1.018253,1.794694,1.454916,0.9,0.594141,0.287153,0.172226,0.0,413.5598
990,1.1,397.5459,1016.3498,2.065266,2.154944,2.077225,1.950569,1.8375,1.689453,1.51124,1.209999,2.154944,1.746996,1.1,0.694378,0.316646,0.206441,0.0,496.5836
1052,0.05,49.8054,132.5663,0.039583,0.056934,0.061921,0.064799,0.066562,0.066807,0.064539,0.054216,0.066807,0.058702,0.05,0.042685,0.033003,0.016645,0.0,16.686
1052,0.2,160.0046,454.4485,0.162869,0.244361,0.267276,0.274552,0.27238,0.262372,0.242237,0.196744,0.274552,0.238692,0.2,0.148783,0.109621,0.067877,0.0,67.8483
1052,0.4,251.9699,677.3498,0.288619,0.401118,0.442815,0.466644,0.477544,0.494414,0.486536,0.388925,0.494414,0.408479,0.4,0.303788,0.186624,0.13471,0.0,116.1103
1052,0.6,341.9318,918.993,0.813212,1.095583,1.099021,1.066727,1.026958,0.967319,0.885272,0.715657,1.099021,0.951405,0.6,0.442779,0.229185,0.207002,0.0,270.4368
1052,0.8,383.6554,978.8235,2.693851,2.421219,1.987971,1.655433,1.459889,1.358396,1.253033,1.053535,2.693851,1.714206,0.8,0.547147,0.254841,0.279522,0.0,487.2632
1052,0.7,365.9086,970.7966,0.960615,1.325561,1.336708,1.281149,1.234662,1.181151,1.077521,0.86161,1.336708,1.135668,0.7,0.49468,0.242316,0.244634,0.0,322.8136
1052,0.75,373.2375,978.3468,1.559997,1.773012,1.653949,1.449954,1.304663,1.222974,1.12535,0.935157,1.773012,1.377632,0.75,0.52233,0.248876,0.262435,0.0,391.5919
1052,0.85,394.5655,992.9767,2.926452,2.532831,2.098546,1.7488,1.56606,1.455212,1.344551,1.125316,2.926452,1.787548,0.85,0.571368,0.259828,0.296076,0.0,508.1106
4455,0.05,70.8488,189.0886,0.056699,0.081836,0.088498,0.091267,0.091832,0.090575,0.086548,0.072506,0.091832,0.081854,0.06143,0.053763,0.043038,0.005785,0.0,23.2669
4455,0.15,167.0938,466.3873,0.16585,0.246372,0.266266,0.27062,0.271737,0.264601,0.245461,0.196707,0.271737,0.236277,0.184291,0.158894,0.10988,0.017955,0.0,67.1617
4455,0.2,199.7475,558.5422,0.223913,0.323681,0.344393,0.346964,0.339641,0.323175,0.294776,0.233313,0.346964,0.299992,0.245722,0.211201,0.127004,0.02391,0.0,85.2727
4455,0.25,210.2289,585.78,0.235403,0.334753,0.362337,0.375362,0.379731,0.372749,0.34689,0.274787,0.379731,0.329038,0.307152,0.261471,0.137612,0.029208,0.0,93.5292
4455,0.3,237.3352,656.9322,0.292976,0.408532,0.417747,0.408766,0.396571,0.380915,0.356558,0.282718,0.417747,0.350514,0.368583,0.308226,0.152791,0.034316,0.0,99.6337
4455,0.35,259.7653,714.2748,0.351638,0.483763,0.489549,0.478249,0.465727,0.449808,0.42003,0.32984,0.489549,0.410651,0.430013,0.355486,0.17255,0.039689,0.0,116.7274
4455,0.4,285.6393,764.6286,0.409155,0.55926,0.560897,0.543547,0.529449,0.513362,0.480519,0.377557,0.560897,0.467815,0.491443,0.403133,0.190517,0.045618,0.0,132.9765
4455,0.5,325.1344,864.0236,0.506657,0.682854,0.681778,0.657998,0.639009,0.62002,0.591472,0.460624,0.682854,0.56217,0.614304,0.48056,0.222961,0.057338,0.0,159.7969
4455,0.75,368.8713,989.7732,0.710835,0.854468,0.83319,0.803111,0.834705,0.89997,0.858963,0.651012,0.89997,0.727298,0.921457,0.724837,0.275777,0.084934,0.0,206.7345
4455,0.85,382.5422,1011.4232,0.807106,0.953847,0.944346,0.94072,0.938424,0.993315,0.951487,0.71965,0.993315,0.836729,1.044317,0.828588,0.290913,0.097702,0.0,237.8401
4455,1.0,405.5165,1029.551,0.949371,1.093825,0.991417,0.988239,1.012975,1.120267,1.080678,0.815197,1.120267,0.87401,1.228609,0.962898,0.310697,0.116431,0.0,248.4374
4455,1.5,463.0416,1061.0427,1.474587,1.49652,1.301621,1.263337,1.326051,1.515576,1.505253,1.133253,1.515576,1.273347,1.842913,1.33042,0.364293,0.172129,0.0,361.9488
4455,2.0,484.7791,1126.4136,3.307349,2.994847,2.529117,2.273099,2.189745,2.22392,2.146173,1.762512,3.307349,2.416943,2.457217,1.62337,0.40692,0.218486,0.0,687.0161
4455,1.7,479.0161,1097.1903,1.685644,1.854379,1.748387,1.636587,1.665518,1.727653,1.663098,1.308619,1.854379,1.643313,2.088635,1.437413,0.382669,0.192555,0.0,467.1116
4455,1.9,485.3205,1120.122,2.766334,2.533927,2.238721,2.069461,2.031644,2.072768,1.991747,1.618269,2.766334,2.147444,2.334357,1.56447,0.39926,0.210166,0.0,610.411
4863,0.05,71.0175,192.654,0.058767,0.086859,0.096172,0.101152,0.103059,0.102069,0.097476,0.081722,0.103059,0.090346,0.053713,0.056265,0.047952,0.013385,0.0,25.6809
4863,0.1,111.4827,307.6307,0.096212,0.143649,0.156687,0.161773,0.163928,0.162115,0.153416,0.126448,0.163928,0.143223,0.107426,0.110405,0.072015,0.027304,0.0,40.7111
4863,0.15,154.2917,415.4404,0.140354,0.213108,0.237241,0.247182,0.249679,0.245718,0.230064,0.185588,0.249679,0.214083,0.161138,0.159099,0.101981,0.040676,0.0,60.8532
4863,0.25,232.0496,627.6856,0.258293,0.351107,0.353182,0.369013,0.375669,0.367002,0.338938,0.267579,0.375669,0.319045,0.268564,0.244426,0.147641,0.068619,0.0,90.6886
4863,0.3,279.0107,737.77,0.36344,0.474797,0.459472,0.440558,0.447677,0.436732,0.403911,0.317288,0.474797,0.395999,0.322277,0.283864,0.169338,0.083297,0.0,112.5627
4863,0.35,315.6528,840.4648,0.536337,0.691282,0.668827,0.634864,0.601747,0.566912,0.520499,0.415484,0.691282,0.571605,0.37599,0.316522,0.191672,0.09795,0.0,162.4788
4863,0.4,334.9913,902.7187,0.751537,0.975423,0.93408,0.876988,0.818052,0.75877,0.691242,0.56006,0.975423,0.790685,0.429702,0.358165,0.208631,0.112593,0.0,224.7521
4863,0.5,327.2661,929.4327,1.092274,1.417464,1.383685,1.285334,1.180694,1.080791,0.97041,0.788754,1.417464,1.140962,0.537128,0.459438,0.217167,0.145059,0.0,324.3185
4863,0.55,335.0707,932.7072,1.113657,1.456983,1.444575,1.35057,1.250973,1.15301,1.032421,0.831786,1.456983,1.18883,0.590841,0.50053,0.226495,0.160324,0.0,337.925
4863,0.6,342.0102,939.538,1.121246,1.469244,1.470606,1.383156,1.287334,1.190551,1.066099,0.856811,1.470606,1.209853,0.644554,0.535577,0.231044,0.175575,0.0,343.9008
4863,0.7,370.4094,947.2524,1.382411,1.660201,1.638547,1.530308,1.420472,1.308751,1.176312,0.9513,1.660201,1.355189,0.751979,0.585934,0.246155,0.207453,0.0,385.2126
4863,0.9,416.4272,1022.6622,3.499527,3.010234,2.461545,2.181939,1.973646,1.805813,1.656502,1.398645,3.499527,2.175707,0.96683,0.60401,0.270941,0.264431,0.0,618.4447
4863,0.75,389.5019,977.4138,1.642701,1.81201,1.746162,1.623797,1.497429,1.373946,1.235875,0.999028,1.81201,1.443877,0.805692,0.561512,0.242703,0.22413,0.0,410.4221
4863,0.8,409.6171,1000.6447,2.117028,2.141131,1.93711,1.708953,1.549762,1.453761,1.32289,1.069496,2.141131,1.629665,0.859405,0.579525,0.252176,0.239407,0.0,463.2322
4863,0.85,414.4723,1008.1687,2.41083,2.381808,2.219111,2.004875,1.790296,1.630795,1.488359,1.243892,2.41083,1.881376,0.913118,0.577466,0.261715,0.252787,0.0,534.781
