RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN·m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
2476,0.17,986.4237,7327.2315,0.889155,1.847818,2.317248,2.485799,2.412681,2.135879,1.632417,0.935212,2.485799,1.812532,0.17,0.162447,0.131781,0.15183,0.0,511.1339
2476,0.172,987.8278,7357.1761,0.902159,1.881326,2.367094,2.544514,2.476151,2.177598,1.651115,0.933359,2.544514,1.855601,0.172,0.16418,0.132862,0.153466,0.0,523.2794
2476,0.2,989.4199,7754.7093,1.075089,2.324556,2.970981,3.216582,3.173613,2.845061,2.157636,1.185356,3.216582,2.357665,0.2,0.187756,0.134377,0.176791,0.0,664.8614
2476,0.25,982.6961,8163.3883,1.506047,2.929751,3.611078,3.842418,3.759658,3.366474,2.558657,1.428712,3.842418,2.858659,0.25,0.224582,0.147124,0.22087,0.0,806.142
2476,0.3,1050.2113,8129.5777,1.516003,2.980444,3.695817,3.937414,3.861023,3.480368,2.721686,1.570625,3.937414,2.939961,0.3,0.261999,0.160255,0.266168,0.0,829.0689
2476,0.35,1044.7219,8194.6914,1.987046,3.621629,4.404627,4.659148,4.562782,4.142646,3.276477,1.911506,4.659148,3.528084,0.35,0.296502,0.177789,0.312109,0.0,994.9196
2510,0.03,487.9833,2621.671,0.143276,0.305636,0.384192,0.420165,0.422963,0.393834,0.325589,0.205183,0.422963,0.323143,0.03,0.033813,0.049487,0.063699,0.0,91.1265
2510,0.035,532.6949,2922.2857,0.164327,0.35093,0.443019,0.48601,0.489232,0.454071,0.373755,0.234743,0.489232,0.372262,0.035,0.039255,0.049129,0.074775,0.0,104.9778
2510,0.037,549.0873,3018.7832,0.171433,0.366231,0.463032,0.508543,0.512003,0.474838,0.390322,0.244758,0.512003,0.389043,0.037,0.04135,0.047787,0.079211,0.0,109.7101
2510,0.045,707.5861,4126.0224,0.267924,0.566505,0.71752,0.785146,0.782751,0.713969,0.573544,0.350888,0.785146,0.591568,0.045,0.048602,0.051827,0.097503,0.0,166.8221
2510,0.047,837.2006,5147.7689,0.398417,0.820656,1.028381,1.118533,1.109195,1.006255,0.804778,0.490255,1.118533,0.842826,0.047,0.049907,0.067945,0.102211,0.0,237.6768
2510,0.048,898.6296,5732.0905,0.496036,1.014418,1.268235,1.375955,1.359063,1.225994,0.974473,0.589467,1.375955,1.032987,0.048,0.050858,0.080552,0.104555,0.0,291.3024
2510,0.049,943.8711,6281.2125,0.603877,1.234617,1.541431,1.667068,1.641302,1.474516,1.163465,0.694405,1.667068,1.246818,0.049,0.051587,0.094129,0.106885,0.0,351.6027
2510,0.05,964.147,6652.8733,0.69209,1.426883,1.793281,1.942219,1.902919,1.69367,1.320243,0.776775,1.942219,1.436328,0.05,0.059672,0.104512,0.109186,0.0,405.0444
2510,0.057,973.0504,7255.1354,0.869087,1.823929,2.302587,2.482466,2.418649,2.126478,1.611677,0.916245,2.482466,1.810069,0.057,0.078467,0.130591,0.124009,0.0,510.4395
2510,0.06,973.5869,7307.6149,0.887352,1.861367,2.349609,2.532043,2.467172,2.168488,1.636295,0.925617,2.532043,1.84509,0.06,0.077415,0.134149,0.129162,0.0,520.3154
2510,0.07,1013.31,7560.6768,0.992689,2.102773,2.655197,2.854292,2.791322,2.468098,1.855912,1.034067,2.854292,2.08374,0.07,0.083965,0.14337,0.147377,0.0,587.6148
2510,0.09,1002.4756,7296.9194,0.904861,1.930597,2.467795,2.679247,2.633121,2.335555,1.763486,0.987343,2.679247,1.954053,0.09,0.095877,0.14526,0.168139,0.0,551.043
3282,0.03,446.4644,2307.8029,0.124299,0.263182,0.327661,0.354734,0.354043,0.327449,0.269227,0.169514,0.354734,0.272222,0.03,0.028895,0.052587,0.013652,0.0,76.7667
3282,0.04,532.8343,2858.9397,0.159683,0.33902,0.424606,0.461316,0.458967,0.420809,0.342781,0.214072,0.461316,0.350633,0.04,0.036919,0.06246,0.018234,0.0,98.8785
3282,0.045,561.9746,3052.3808,0.173283,0.367642,0.460629,0.500096,0.49702,0.454683,0.369018,0.229618,0.500096,0.379365,0.045,0.0407,0.065545,0.020523,0.0,106.9808
3282,0.06,614.1833,3389.2759,0.200026,0.425569,0.536976,0.586227,0.58466,0.535113,0.43261,0.267108,0.586227,0.442509,0.06,0.04604,0.073301,0.027373,0.0,124.7875
3282,0.08,665.5308,3835.5499,0.239624,0.511738,0.65258,0.719014,0.720662,0.65973,0.531557,0.326005,0.720662,0.540485,0.08,0.058571,0.082733,0.036456,0.0,152.4168
3282,0.1,681.1794,3946.1853,0.253335,0.548474,0.708727,0.788504,0.795483,0.730474,0.588123,0.359204,0.795483,0.592439,0.1,0.077353,0.087689,0.045487,0.0,167.0679
3282,0.15,838.4179,4976.2309,0.375715,0.789855,1.011103,1.124124,1.137886,1.050929,0.853147,0.524719,1.137886,0.848337,0.15,0.104499,0.082769,0.067842,0.0,239.2309
3282,0.18,900.3892,5498.6231,0.45986,0.967151,1.249099,1.398638,1.421735,1.315038,1.066291,0.652116,1.421735,1.052666,0.18,0.126992,0.087976,0.081113,0.0,296.8518
3282,0.2,920.526,5749.2894,0.507469,1.071457,1.390925,1.563303,1.594492,1.479245,1.200897,0.730963,1.594492,1.176643,0.2,0.142508,0.089234,0.089883,0.0,331.8133
3282,0.25,933.4455,6084.738,0.581553,1.246047,1.643592,1.875066,1.931569,1.798691,1.457432,0.877468,1.931569,1.407402,0.25,0.181676,0.089142,0.11156,0.0,396.8874
3282,0.3,956.9766,6081.3584,0.594091,1.303114,1.765722,2.044229,2.119459,1.984901,1.612328,0.969582,2.119459,1.530575,0.3,0.227961,0.089875,0.133076,0.0,431.6221
3282,0.35,989.2494,6360.6904,0.617259,1.295682,1.799711,2.108153,2.20397,2.083087,1.706837,1.030248,2.20397,1.584035,0.35,0.272237,0.09922,0.154643,0.0,446.6978
3282,0.4,1016.5151,6659.3995,0.687273,1.427694,1.822964,2.087642,2.205021,2.105608,1.743783,1.060928,2.205021,1.577431,0.4,0.316182,0.109423,0.17638,0.0,444.8357
3282,0.5,1097.4569,7333.9156,0.926602,2.039991,2.65519,2.907595,2.884849,2.595891,1.994514,1.132642,2.907595,2.12943,0.5,0.40434,0.128651,0.220276,0.0,600.4993
4199,0.03,465.7263,2472.556,0.134024,0.285451,0.357457,0.388899,0.389211,0.360211,0.295892,0.185705,0.389211,0.29786,0.03,0.029527,0.057565,0.020232,0.0,83.9964
