RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN·m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
4199,0.22,905.0705,2638.2728,1.452123,1.594012,1.611949,1.540628,1.390619,1.171466,0.885822,0.526777,1.611949,1.633673,0.206769,0.139524,0.110985,0.135348,119.6686,464.4238
4199,0.25,931.4037,2792.8976,1.572074,1.728391,1.748399,1.669401,1.50304,1.260375,0.946809,0.558795,1.748399,1.735089,0.249734,0.163719,0.117455,0.153547,123.1946,493.2545
4199,0.3,962.151,3056.5608,1.802445,1.991597,2.010051,1.898347,1.677579,1.377235,1.011619,0.585554,2.010051,1.900452,0.314916,0.215083,0.128516,0.18458,127.3859,540.2644
4199,0.35,936.7708,3261.934,1.978776,2.185267,2.201211,2.073954,1.818563,1.467351,1.06116,0.642764,2.201211,2.046316,0.366627,0.262819,0.136448,0.215748,123.7449,581.7307
4199,0.4,927.2223,3750.5416,2.43816,2.701905,2.720363,2.548828,2.202888,1.727821,1.281186,0.768846,2.720363,2.371646,0.413423,0.291566,0.140333,0.247716,123.1698,674.2161
4199,0.37,939.7738,3312.6048,2.03527,2.254344,2.27496,2.144515,1.879536,1.51382,1.122983,0.680694,2.27496,2.103317,0.383733,0.278053,0.139816,0.22814,124.5779,597.9352
5259,0.005,134.5357,218.8538,0.069257,0.073775,0.075256,0.074798,0.073173,0.069475,0.061157,0.043274,0.075256,0.129406,0.018238,0.008112,0.010133,0.011562,17.69,36.7877
5259,0.01,690.743,1691.806,0.834477,0.908674,0.92241,0.893664,0.824827,0.715529,0.559242,0.346059,0.92241,1.061892,0.048324,0.068545,0.078497,0.02973,91.1193,301.8768
5259,0.05,765.4826,1964.0491,0.982918,1.076561,1.095174,1.06031,0.975847,0.842287,0.653263,0.399327,1.095174,1.222784,0.065477,0.076225,0.087053,0.043018,101.0218,347.6155
5259,0.1,815.4663,2223.7504,1.155624,1.266153,1.282481,1.230687,1.118741,0.952399,0.728368,0.439445,1.282481,1.379952,0.104467,0.085401,0.099786,0.062611,107.7407,392.2955
5259,0.15,894.0564,2525.9777,1.379691,1.521525,1.549985,1.494966,1.362244,1.157997,0.882679,0.536441,1.549985,1.593328,0.173396,0.114517,0.110373,0.089145,118.129,452.9544
5259,0.2,952.8807,3005.0231,1.761426,1.94154,1.965757,1.847311,1.628484,1.344363,0.981913,0.571248,1.965757,1.882668,0.239317,0.136046,0.120708,0.118515,125.9219,535.2087
5259,0.25,1072.0724,3409.5767,2.08165,2.315034,2.362075,2.261342,2.020706,1.662891,1.214894,0.690873,2.362075,2.105001,0.296434,0.178078,0.132246,0.149221,141.8754,598.4138
5259,0.27,1112.2471,3859.184,2.505825,2.795965,2.855317,2.739331,2.437646,1.966776,1.385088,0.756882,2.855317,2.410801,0.316326,0.196351,0.127499,0.161615,147.3124,685.3473
5676,0.01,420.3057,827.4668,0.331516,0.359719,0.367636,0.363382,0.34695,0.315062,0.259545,0.169734,0.367636,0.507031,0.022893,0.030278,0.038688,0.02419,55.2834,144.1397
5676,0.02,703.4664,1751.9957,0.851463,0.931683,0.94883,0.920828,0.850386,0.737029,0.57478,0.354521,0.94883,1.08834,0.052626,0.069852,0.080475,0.031379,92.814,309.3956
5676,0.03,701.1119,1740.914,0.844875,0.924381,0.94164,0.914424,0.845153,0.733211,0.572277,0.35315,0.94164,1.081775,0.052415,0.069941,0.079953,0.031112,92.4971,307.5292
5676,0.1,774.8115,2039.8232,1.031449,1.127752,1.143266,1.101358,1.007778,0.864898,0.667051,0.405782,1.143266,1.265534,0.082067,0.076632,0.088446,0.042237,102.306,359.7686
5676,0.15,848.7207,2348.9372,1.25647,1.385179,1.410431,1.359102,1.238339,1.054586,0.806147,0.484899,1.410431,1.48442,0.134313,0.109452,0.099392,0.062083,112.1211,421.994
5676,0.16,843.4528,2382.5961,1.283821,1.415452,1.44005,1.385487,1.259588,1.069594,0.815408,0.489495,1.44005,1.509434,0.150076,0.120205,0.100454,0.065963,111.4514,429.105
5676,0.18,882.7926,2419.516,1.309298,1.441962,1.464477,1.405447,1.273691,1.077874,0.819644,0.491767,1.464477,1.530237,0.178625,0.136103,0.103118,0.073628,116.6207,435.0188
5676,0.2,853.7422,2384.0022,1.279312,1.407642,1.429165,1.37168,1.244676,1.056749,0.817051,0.496512,1.429165,1.504992,0.209765,0.147565,0.108104,0.081183,112.6866,427.8423
5676,0.22,885.0634,2422.7445,1.317702,1.462414,1.500599,1.459901,1.344391,1.155782,0.890192,0.536427,1.500599,1.535898,0.233271,0.157963,0.113681,0.088663,116.8335,436.6283
5676,0.25,900.579,2624.6587,1.493091,1.667308,1.716305,1.669724,1.531486,1.305946,0.994884,0.592096,1.716305,1.703754,0.257889,0.172847,0.119649,0.10106,118.98,484.3465
5676,0.3,935.8097,3158.3577,1.830817,2.019425,2.050722,1.990418,1.80357,1.507327,1.119792,0.65103,2.050722,1.953858,0.288284,0.191759,0.128732,0.118359,124.1454,555.4467
5676,0.32,972.5974,3388.9101,2.013514,2.222229,2.250551,2.146003,1.914046,1.572515,1.154212,0.671756,2.250551,2.090976,0.312154,0.203213,0.130611,0.125772,129.091,594.4269
5676,0.35,1007.9131,3767.9761,2.345417,2.587056,2.604077,2.450939,2.142053,1.713159,1.2153,0.713228,2.604077,2.28235,0.346808,0.210776,0.127884,0.136873,133.9109,648.8311
