RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kNm),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
4455,0.45,635.93,1407.0087,0.638218,0.698918,0.71304,0.694928,0.646823,0.568062,0.452067,0.2858,0.71304,0.867493,0.373729,0.263735,0.062228,0.029654,83.7751,246.6127
4455,0.9,739.9364,1747.7197,0.860023,0.947639,0.975391,0.960809,0.895218,0.783147,0.634761,0.411885,0.975391,1.098678,0.705007,0.509251,0.10211,0.046317,97.5426,312.3344
4455,1.2,899.8466,1729.1031,0.823678,0.910732,0.946374,0.953041,1.016835,1.024026,0.886627,0.570898,1.024026,1.10294,0.903704,0.66079,0.125655,0.061499,118.1036,313.5459
4455,1.6,1091.9324,1837.0542,0.859173,0.984226,1.072648,1.252451,1.418245,1.434388,1.251331,0.803724,1.434388,1.223635,1.203807,0.877439,0.166744,0.082884,143.3669,347.8573
4455,1.8,1156.9972,1979.9212,0.863193,1.006652,1.124588,1.410781,1.614663,1.645892,1.445436,0.933422,1.645892,1.271444,1.339299,0.994185,0.184499,0.093828,151.9145,361.4487
4455,2.2,1388.4128,2205.6777,0.8746,1.045866,1.346732,1.724624,2.00476,2.070511,1.837624,1.198049,2.070511,1.354704,1.542463,1.192882,0.215319,0.116087,182.1187,385.1178
4455,2.6,1583.7861,2539.2012,1.044684,1.282981,1.64255,2.068113,2.413674,2.503433,2.231209,1.45,2.503433,1.489258,1.674436,1.35476,0.243087,0.138405,207.7763,423.3692
4863,0.2,1030.2092,3608.494,2.373378,2.653977,2.696655,2.556152,2.240464,1.779765,1.237432,0.677374,2.696655,2.36839,0.200579,0.152726,0.121142,0.097695,136.4808,673.2906
4863,0.1,801.7262,2081.4977,1.064416,1.16951,1.192554,1.155772,1.063712,0.921662,0.71692,0.438073,1.192554,1.30652,0.101938,0.097715,0.09543,0.054681,105.8125,371.4202
4863,0.15,898.9451,2866.1268,1.700801,1.900858,1.942355,1.858226,1.667483,1.392253,1.040902,0.612082,1.942355,1.883742,0.134324,0.11405,0.109503,0.07771,118.9046,535.5141
4863,0.05,663.7146,1566.8555,0.736738,0.812444,0.828943,0.80476,0.746983,0.656648,0.51704,0.321269,0.828943,0.975329,0.050788,0.05898,0.070304,0.031427,87.5211,277.2685
4863,0.025,203.108,340.019,0.113783,0.122211,0.124443,0.12359,0.119772,0.111836,0.096333,0.066706,0.124443,0.203179,0.022903,0.017193,0.015871,0.015966,26.6634,57.7602
4863,0.04,513.3983,1069.1997,0.452784,0.495304,0.501386,0.49607,0.470675,0.420747,0.337401,0.22382,0.501386,0.659444,0.036652,0.037654,0.049176,0.027592,67.5724,187.468
4863,0.12,904.5494,2451.7786,1.316244,1.456017,1.494516,1.455948,1.34164,1.153888,0.888754,0.535506,1.494516,1.543804,0.12571,0.119422,0.101317,0.064443,119.4446,438.8756
